PMW;Hotel A;52 vagas;R$ 735;3 estrelas
CNF;Hotel A;22 vagas;R$ 382;1 estrelas
PMW;Hotel E;349 vagas;R$ 443;5 estrelas
SAO;Hotel E;91 vagas;R$ 776;5 estrelas
SAO;Hotel A;54 vagas;R$ 919;5 estrelas
CNF;Hotel B;411 vagas;R$ 379;4 estrelas
CNF;Hotel E;28 vagas;R$ 446;1 estrelas
CNF;Hotel D;142 vagas;R$ 750;1 estrelas
CNF;Hotel E;189 vagas;R$ 562;4 estrelas
CNF;Hotel A;165 vagas;R$ 957;5 estrelas
CNF;Hotel D;54 vagas;R$ 477;4 estrelas
SAO;Hotel D;341 vagas;R$ 832;3 estrelas
SAO;Hotel E;25 vagas;R$ 315;4 estrelas
SAO;Hotel C;184 vagas;R$ 964;5 estrelas
CNF;Hotel D;183 vagas;R$ 810;3 estrelas
CNF;Hotel C;365 vagas;R$ 889;5 estrelas
CNF;Hotel E;281 vagas;R$ 643;4 estrelas
PMW;Hotel B;466 vagas;R$ 511;2 estrelas
PMW;Hotel E;93 vagas;R$ 340;2 estrelas
CNF;Hotel C;276 vagas;R$ 366;4 estrelas
CNF;Hotel D;361 vagas;R$ 472;5 estrelas
CNF;Hotel B;64 vagas;R$ 187;4 estrelas
CNF;Hotel C;412 vagas;R$ 877;4 estrelas
SAO;Hotel A;57 vagas;R$ 453;4 estrelas
SAO;Hotel A;367 vagas;R$ 386;3 estrelas
CNF;Hotel C;134 vagas;R$ 817;4 estrelas
SAO;Hotel C;498 vagas;R$ 614;1 estrelas
CNF;Hotel B;257 vagas;R$ 981;3 estrelas
CNF;Hotel A;246 vagas;R$ 671;2 estrelas
CNF;Hotel D;231 vagas;R$ 600;2 estrelas
PMW;Hotel D;428 vagas;R$ 527;3 estrelas
SAO;Hotel E;167 vagas;R$ 557;4 estrelas
PMW;Hotel E;159 vagas;R$ 487;4 estrelas
SAO;Hotel E;268 vagas;R$ 864;3 estrelas
SAO;Hotel A;275 vagas;R$ 210;5 estrelas
SAO;Hotel C;300 vagas;R$ 134;2 estrelas
SAO;Hotel C;336 vagas;R$ 615;4 estrelas
CNF;Hotel D;28 vagas;R$ 104;3 estrelas
PMW;Hotel A;200 vagas;R$ 594;4 estrelas
PMW;Hotel E;111 vagas;R$ 776;4 estrelas
CNF;Hotel E;41 vagas;R$ 710;2 estrelas
SAO;Hotel A;47 vagas;R$ 466;5 estrelas
CNF;Hotel E;350 vagas;R$ 612;4 estrelas
SAO;Hotel E;416 vagas;R$ 861;2 estrelas
